
2024/02/02 (19:18:11) | ===> btop++ v.1.2.13
2024/02/02 (19:18:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/10 (19:31:42) | ===> btop++ v.1.2.13
2024/02/10 (19:31:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/13 (13:55:38) | ===> btop++ v.1.2.13
2024/02/13 (13:55:38) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/13 (14:12:58) | ===> btop++ v.1.2.13
2024/02/13 (14:12:58) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/10/08 (14:32:21) | ===> btop++ v.1.3.2
2024/10/08 (14:32:21) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/10 (14:39:05) | ===> btop++ v.1.4.0
2024/12/10 (14:39:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/10 (14:40:37) | ===> btop++ v.1.4.0
2024/12/10 (14:40:37) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/05/27 (10:39:04) | ===> btop++ v.1.4.0
2025/05/27 (10:39:04) | WARNING: Failed to set locale UTF-8 continuing anyway.
